Name,Team Name,Price,Minutes,Appearances,Shots,On Target,Shots in Box,Big Chances,Expected Goals,Goals,%%xGI,%%GI,xGI,Goal Involvement,Key Passes,Big Chances Created,Expected Assists,Assists,Expected Points,BPS,Bonus Points,Points,Shots Outside Box,Headed Shots,NPxG,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Total Throughballs,Accurate Throughballs,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Total Corners,Corners into Box,Total Indirect FK,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,Cleansheet,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,xCS,Saves,Yellow Card,Red Card,Threat,Creativity,Influence,xAtt,bBPS,aPts
Doherty (D),TOT,4.8,86,3 (0),1,0,1,0,0.05,0,0.05,0,0.1,0,0.33,0,0.06,0,4.26,15.33,0,3,0,0,0.05,0,0,0,10.67,8.33,78,1.67,0.33,20,39.67,33.33,84,24.67,18.33,74,0,0,57,2.33,0.67,2,0.33,0,0,0,0,0,0,0,0,0,0.33,1.33,1.67,1.33,80,4,1.33,0,0.33,1.67,10.33,7.67,2.33,0.33,3,1,0.81,0.44,0,0,0,20.67,8.1,8.13,0.43,11.33,1
Davies (D),TOT,4.4,89,3 (0),0.33,0,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,3.88,16.33,0,3,0.33,0,0.01,0,0,0,10.33,8.67,84,0.67,0,0,59,53.33,90,22.67,19.33,85,0,0,66.67,0,4.67,0.67,0,0,0,0,0,0,0,0,0,0,0.33,1.33,0.67,0.67,100,3.67,1.67,0,1,2.67,10.33,7.67,2.33,0.33,3,1,0.81,0.44,0,0,0,2.67,2.63,9.6,0.05,12.33,1
Dier (D),TOT,4.6,90,3 (0),0.67,0.33,0.33,0.33,0.17,0,0.1,0,0.2,0,0,0,0.03,0,4.59,15,0,2.67,0.33,0.33,0.17,0,0,0,2.67,1.33,50,0.33,0,0,71.33,66,93,18,14.33,80,0,0,77.67,1,1.67,0.67,0,0,0,0,0,0,0.33,0,0,0,0.33,1.33,0,0,0,4,1.33,1.33,0.33,3,10.33,7.67,2.33,0.33,3,1,0.81,0.44,0,0.33,0,15.33,0.53,17.27,1.11,11,1
Dawson (D),WHU,4.9,90,2 (0),1,0,1,0.5,0.16,0,0.39,0.33,0.4,3,0.5,0.5,0.22,0.5,3.28,18.5,0,2.5,0,1,0.16,0,0,0,4,3.5,88,0,0,0,52.5,49.5,94,12.5,11,88,0,0,60,1,4,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.5,100,5.5,2.5,1.5,0.5,4.5,15,10,5.5,1,2,2.5,1.84,0.14,0,0.5,0,5.5,5.4,23.6,1.56,14,1
Burn (D),NEW,4.4,90,2 (0),1,0,1,0,0.02,0,0.09,0,0.1,0,0.5,0,0.04,0,3.59,9.5,0,2,0,0.5,0.02,0,0,0,7,6,86,0,0,0,39,32,82,18.5,14.5,78,0,0,51.5,1.5,5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,50,3.5,4.5,1,0.5,6,8.5,5,3,0,1.5,1.5,1,0.32,0,0,0,12,6.15,17.5,0.28,9.5,0
Femenía (D),WAT,4.3,89,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,8,0,2,0,0,0,0,0,0,7,4,57,5,0,0,22,17,77,18,9,50,0,0,42,0,5,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,4,5,13,10,7,4,7,2,1.84,0.13,0,0,0,0,2.1,4.4,0,8,0
Targett (D),NEW,4.7,90,2 (0),0,0,0,0,0,0,0.07,0,0.1,0,1.5,0,0.05,0,3.46,10,0,2,0,0,0,0,0,0,11,7,64,3.5,1.5,43,30,21.5,72,22.5,14.5,64,0,0,59,0.5,5.5,6,0.5,0,1.5,3.5,2,1,0,0,0,0,0,1,2,1,50,4,2.5,0,0,2.5,8.5,5,3,0,1.5,1.5,1,0.32,0,0,0,1,23.1,11.6,0.17,10,0
Kabasele (D),WAT,4.3,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,12,0,2,0,0,0,0,0,0,6,1,17,0,0,0,19,11,58,9,3,33,0,0,29,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,1,0,10,13,10,7,4,7,2,1.84,0.13,0,0,0,0,0,19.8,0,12,0
Lascelles (D),NEW,4.4,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,14,6,43,8,1,13,0,0,25,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,3,1,1,5,8,5,3,0,2,2,1.15,0.27,0,0,0,2,0,12.8,0.04,6,0
Kamara (D),WAT,4.5,90,1 (0),0,0,0,0,0,0,0.02,0,0,0,1,0,0.03,0,2.28,15,0,2,0,0,0,0,0,0,8,4,50,0,0,0,30,16,53,18,10,56,0,0,53,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,4,3,0,3,6,13,10,7,4,7,2,1.84,0.13,0,0,0,0,11.1,15.4,0.1,15,0
Schär (D),NEW,4.3,90,2 (0),2.5,1,1.5,0,0.17,0,0.29,0,0.2,0,0,0,0.05,0,4.5,9,0,2,1,0.5,0.17,0,0,0,18.5,7,38,1,0.5,50,48.5,31.5,65,29.5,15,51,0,0,61.5,3.5,16,4,0,0,0,0,0,0,0.5,0,0,0,0,1,0.5,0.5,100,8,4.5,0,1,5.5,8.5,5,3,0,1.5,1.5,1,0.32,0,0,0,23.5,2.75,13.4,1.2,9,0
