Name,Price,Appearances,Minutes,%%xGI,%%GI,xGI,Goal Involvement,Shots,On Target,Shots in Box,Shots Outside Box,Big Chances,Headed Shots,NPxG,Expected Goals,Goals,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Corners,Total Indirect FK,Key Passes,Big Chances Created,Expected Assists,Assists,Saves,Yellow Card,Red Card,Cleansheet,Threat,Creativity,Influence,xAtt,Expected Points,bBPS,BPS,Bonus Points,Points,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Remove1,Remove2,Remove3,Total Throughballs,Accurate Throughballs,Remove4,Remove5,Remove6,Remove7,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Corners into Box,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,3GW
Son (M) TOT,10.20,12.00,80.67,0.50,0.63,0.70,12.00,3.00,1.17,1.92,1.08,0.42,0.17,0.34,0.34,0.33,0.33,0.00,0.00,14.08,12.33,88.00,1.25,0.33,26.00,0.42,0.00,1.75,0.58,0.36,0.67,0.00,0.00,0.08,0.08,38.33,23.87,28.77,2.80,5.50,8.33,19.58,0.75,6.17,1.33,1.33,0.83,62.00,3.83,0.67,0.00,0.25,0.92,14.33,9.17,5.67,0.83,2.33,1.17,1.45,26.58,23.00,87.00,22.42,18.92,84.00,14.08,12.33,88.00,0.25,0.25,11.00,1.00,4.00,2.00,45.92,6.83,1.42,2.00,0.25,0.08,0.33,0.00,0.00,0.00,0.00,0.00,5.33
Son (M) TOT,10.20,7.00,78.86,0.42,0.56,0.90,10.00,2.14,1.43,1.57,0.57,1.14,0.14,0.59,0.59,1.14,1.14,0.00,0.14,11.71,9.14,78.00,4.14,1.14,28.00,2.57,0.57,2.43,0.43,0.34,0.29,0.00,0.00,0.00,0.29,43.29,32.46,50.11,4.00,6.80,10.57,33.71,1.43,10.14,0.71,0.57,0.43,75.00,3.43,0.14,0.00,0.43,0.57,10.29,6.14,3.43,1.43,1.57,1.29,1.19,26.14,21.29,81.00,24.43,17.86,73.00,11.71,9.14,78.00,0.00,0.00,7.00,0.00,5.00,0.71,40.86,4.43,1.57,4.71,0.43,0.00,2.29,0.00,0.00,0.00,0.00,0.00,5.33
Son (M) TOT,10.20,11.00,82.64,0.41,0.57,0.70,13.00,1.91,1.18,1.18,0.73,0.91,0.09,0.48,0.48,0.91,0.73,0.18,0.09,10.91,8.73,80.00,3.82,1.18,31.00,2.27,0.64,1.73,0.27,0.24,0.27,0.00,0.00,0.00,0.55,34.18,26.40,42.38,3.10,5.90,10.27,29.09,1.27,9.09,0.45,0.64,0.45,70.00,3.73,0.09,0.18,0.36,0.64,11.82,7.27,3.27,1.45,2.09,1.09,1.11,26.45,21.82,82.00,23.36,17.36,74.00,10.91,8.73,80.00,0.00,0.00,11.00,0.00,7.00,0.73,41.64,3.36,1.73,4.36,0.55,0.00,2.09,0.18,0.00,0.00,0.00,0.00,5.33
Son (M) TOT,10.20,7.00,75.86,0.37,0.50,0.50,5.00,2.57,1.14,1.71,0.86,0.14,0.14,0.26,0.26,0.29,0.29,0.00,0.00,16.00,14.00,88.00,1.00,0.14,14.00,0.14,0.00,1.57,0.14,0.19,0.43,0.00,0.00,0.00,0.14,36.57,21.91,23.57,1.90,4.40,6.57,15.57,0.43,5.14,1.29,1.00,0.57,57.00,2.57,0.57,0.00,0.29,0.86,14.14,8.71,5.43,0.86,1.71,1.14,1.39,29.29,25.00,85.00,24.43,20.71,85.00,16.00,14.00,88.00,0.29,0.29,6.00,1.00,3.00,2.14,48.71,7.71,1.14,2.29,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,5.00
Son (M) TOT,10.20,6.00,77.83,0.46,0.62,1.10,10.00,2.33,1.67,1.83,0.50,1.33,0.17,0.69,0.69,1.33,1.33,0.00,0.17,12.67,9.83,78.00,4.17,1.33,32.00,2.67,0.67,2.67,0.50,0.39,0.33,0.00,0.00,0.00,0.33,49.67,35.77,57.87,4.60,7.40,10.83,37.83,1.67,11.50,0.67,0.33,0.17,52.00,3.50,0.17,0.00,0.33,0.50,11.00,6.33,3.67,1.50,1.33,1.50,1.31,27.83,23.17,83.00,26.00,19.67,76.00,12.67,9.83,78.00,0.00,0.00,6.00,0.00,4.00,0.83,42.50,4.83,1.67,4.83,0.33,0.00,2.33,0.00,0.00,0.00,0.00,0.00,5.00
Son (M) TOT,10.20,6.00,51.33,0.05,0.09,0.10,1.00,1.17,0.17,0.83,0.33,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,9.83,7.67,78.00,0.33,0.17,52.00,0.00,0.00,0.67,0.00,0.05,0.17,0.00,0.00,0.00,0.50,14.33,11.43,8.33,0.40,2.60,7.33,8.83,0.00,2.50,0.00,1.50,1.00,67.00,3.50,0.00,0.17,0.33,0.50,12.17,7.33,5.67,1.17,1.83,2.00,1.70,21.17,17.83,84.00,16.17,13.17,81.00,9.83,7.67,78.00,0.33,0.17,3.00,3.00,4.00,0.83,33.17,3.33,0.50,1.50,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.67
Son (M) TOT,10.20,12.00,83.25,0.38,0.58,0.70,14.00,1.83,1.08,1.17,0.67,0.83,0.08,0.44,0.44,0.83,0.67,0.17,0.08,11.08,9.00,81.00,4.08,1.17,29.00,2.50,0.67,1.75,0.25,0.22,0.33,0.00,0.00,0.00,0.50,32.00,26.52,40.90,2.90,5.70,9.92,27.92,1.17,8.75,0.50,0.58,0.42,72.00,3.50,0.08,0.25,0.42,0.75,12.17,7.58,3.42,1.58,2.17,1.17,1.15,26.00,21.58,83.00,23.67,17.50,74.00,11.08,9.00,81.00,0.00,0.00,12.00,0.00,7.00,0.75,41.42,3.33,1.58,4.58,0.50,0.00,2.33,0.17,0.00,0.00,0.00,0.00,4.67
Son (M) TOT,10.20,19.00,85.21,0.44,0.53,0.70,18.00,1.89,1.05,1.37,0.53,0.95,0.16,0.47,0.47,0.63,0.53,0.11,0.05,10.42,8.42,81.00,4.16,1.26,30.00,2.68,0.68,1.79,0.37,0.27,0.32,0.00,0.00,0.00,0.42,32.58,27.06,34.12,3.20,5.90,9.26,23.47,0.95,7.42,0.74,0.68,0.47,69.00,4.16,0.05,0.16,0.47,0.68,13.32,8.58,4.37,1.32,2.26,1.21,1.31,26.05,21.63,83.00,22.53,16.21,72.00,10.42,8.42,81.00,0.05,0.00,19.00,0.00,10.00,1.00,41.95,3.42,1.79,4.63,0.42,0.00,2.58,0.21,0.00,0.00,0.00,0.00,4.67
Son (M) TOT,10.20,20.00,85.45,0.44,0.53,0.70,18.00,1.90,1.05,1.30,0.60,0.90,0.15,0.45,0.45,0.60,0.50,0.10,0.05,10.65,8.55,80.00,4.00,1.20,30.00,2.60,0.65,1.80,0.35,0.26,0.30,0.00,0.00,0.00,0.40,31.90,27.07,32.99,3.10,5.80,9.40,22.90,0.90,7.15,0.75,0.70,0.50,71.00,4.05,0.05,0.15,0.45,0.65,13.45,8.70,4.40,1.25,2.30,1.20,1.32,26.45,21.90,83.00,22.80,16.55,73.00,10.65,8.55,80.00,0.05,0.00,20.00,0.00,10.00,1.05,42.25,3.35,1.75,4.50,0.45,0.00,2.50,0.20,0.00,0.00,0.00,0.00,4.67
Son (M) TOT,10.20,21.00,85.67,0.44,0.53,0.70,18.00,1.90,1.05,1.29,0.62,0.86,0.14,0.44,0.44,0.57,0.48,0.10,0.05,10.90,8.76,80.00,3.90,1.19,31.00,2.57,0.67,1.81,0.33,0.25,0.29,0.00,0.00,0.00,0.38,31.10,27.09,31.81,3.00,5.70,9.29,22.14,0.86,6.90,0.76,0.71,0.52,73.00,4.00,0.05,0.14,0.48,0.67,13.57,8.86,4.29,1.19,2.29,1.29,1.34,26.52,21.95,83.00,22.81,16.57,73.00,10.90,8.76,80.00,0.05,0.00,21.00,0.00,10.00,1.00,42.43,3.33,1.76,4.52,0.52,0.00,2.43,0.24,0.00,0.00,0.00,0.00,4.67
