Begović (G)EVE,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.9,0,4,2.0,0.0,10.0,10.0,0.0,0.0,12.8,24.0,14.5,60,12.5,3.5,28,4.5,1.0,22,0.0,0.0,30.5,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.05,11.0,5.5,4.0,2.0,1.0,0.5,0.0,0.0,0,6.5,0.5,0.0,0.0,0.5,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begović ,G,10,1.33
Ryan (G)BHA,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.38,0,4.5,2.5,0.0,15.0,15.0,0.0,0.0,27.3,22.0,6.5,30,21.0,6.0,29,8.0,1.0,13,0.0,0.0,28.0,0.0,8.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.74,15.5,11.0,5.5,2.5,0.5,1.5,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan ,G,13,1.67
Hart (G)TOT,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.38,0,4.5,2.0,0.0,20.5,20.5,0.0,0.0,34.2,33.5,16.0,48,26.5,11.0,42,13.0,4.5,35,0.0,0.0,47.5,0.0,13.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,,2.39,17.0,6.5,9.0,2.0,0.0,3.0,0.0,0.0,0,12.0,0.5,0.0,0.0,0.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hart ,G,5,7.33
Etheridge (G)CAR,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.76,0,4.6,11.0,1.5,17.0,36.5,0.0,0.0,38.9,25.5,9.5,37,23.5,7.5,32,14.0,2.5,18,0.0,0.0,34.5,0.0,14.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.14,8.5,6.5,3.5,0.5,1.0,1.0,0.0,0.0,0,10.5,1.5,0.0,0.0,1.5,1.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etheridge ,G,20,1.67
Arrizabalaga (G)CHE,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.72,0,4.5,2.0,0.0,13.0,13.0,0.0,0.0,17.4,23.5,18.5,79,4.5,1.5,33,0.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.45,10.5,5.5,4.0,1.0,0.5,2.5,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arrizabalaga ,G,3,4.67
Hennessey (G)BUR,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.2,0,4.5,2.0,0.0,16.0,16.0,0.0,0.0,26.6,26.0,12.5,48,21.5,9.0,42,9.0,2.5,28,0.0,0.0,37.0,0.0,9.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.1,14.5,8.5,5.5,1.0,0.0,3.0,0.0,0.0,0,9.5,1.0,0.0,0.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hennessey ,G,15,7.33
Pickford (G)EVE,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.14,0,4.8,2.5,0.0,15.5,15.5,0.0,0.0,23.8,34.0,16.5,49,23.5,8.0,34,12.5,3.0,24,0.0,0.0,45.0,0.0,12.5,0.0,1.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,2.06,16.0,10.5,4.5,3.5,1.5,3.5,0.0,0.0,0,9.0,2.0,0.0,0.0,2.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pickford ,G,10,2.0
Fabianski (G)WHU,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.12,0,5,3.5,0.5,21.0,21.0,0.0,0.0,42.3,22.5,9.5,42,18.0,6.0,33,4.5,1.0,22,0.0,0.0,36.0,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,2.11,14.5,8.5,7.5,2.5,0.5,2.5,0.0,0.0,0,9.0,1.5,0.0,0.0,1.5,0.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabianski ,G,9,5.67
Cech (G)ARS,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.1,0,4.7,3.0,0.0,21.5,21.5,0.0,0.0,40.4,30.0,22.5,75,7.5,2.5,33,2.5,0.0,0,0.0,0.0,43.0,0.0,2.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.72,18.5,9.0,8.0,1.0,0.5,1.0,0.0,0.0,0,9.5,0.0,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cech ,G,6,4.67
Schmeichel (G)LEI,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.08,0,5,4.5,0.0,15.0,21.0,0.0,0.0,24.1,27.5,15.5,56,13.0,3.0,23,4.5,2.0,44,0.0,0.0,38.5,0.0,4.5,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,0.92,11.0,5.5,4.0,1.0,0.0,0.5,0.0,0.0,0,8.5,1.5,0.0,0.0,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Schmeichel ,G,7,0.67
Alisson (G)LIV,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.44,0,6.1,6.0,0.0,12.5,24.5,0.0,0.0,18.3,19.5,17.0,87,5.5,3.5,64,1.5,1.5,100,0.0,0.0,28.5,0.0,1.5,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.56,7.0,4.0,2.0,1.0,0.0,0.5,0.0,0.0,0,4.5,1.0,0.0,0.5,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alisson ,G,2,3.67
